region,lat,lon
Region 1,42.55751111111111,-84.39546666666666
Region 2S,42.15553333333333,-83.55406666666666
Region 2N,42.76616666666666,-83.0
Region 3,43.765699999999995,-83.71209999999999
Region 5,42.18112222222223,-85.63839999999999
Region 6,43.54249999999999,-85.60785384615383
Region 7,44.85194444444445,-84.91592777777778
Region 8,46.38996,-87.40326666666667
