Date,Region 1,Region 2 North,Region 2 South,Region 3,Region 5,Region 6,Region 7,Region 8,Unknown,Grand Total
1-Mar,,3,5,3,,1,,,,12
2-Mar,1,1,7,,,1,,,,10
3-Mar,1,10,3,3,,,1,,,18
4-Mar,2,10,7,,,3,,,,22
5-Mar,1,8,13,1,,1,,,,24
6-Mar,,10,18,2,1,3,,,,34
7-Mar,,20,16,2,1,1,1,,,41
8-Mar,2,17,24,4,,3,,,,50
9-Mar,4,45,51,8,,3,,,,111
10-Mar,7,41,73,7,2,3,,,1,134
11-Mar,9,71,79,4,1,3,2,1,,170
12-Mar,11,97,113,9,6,2,4,,,242
13-Mar,16,126,122,20,7,7,2,,,300
14-Mar,19,119,143,15,5,3,4,,,308
15-Mar,15,163,166,24,4,9,5,1,1,388
16-Mar,40,200,265,39,12,8,4,,2,570
17-Mar,31,256,237,46,7,16,2,3,1,599
18-Mar,32,264,304,32,12,15,8,4,1,672
19-Mar,24,256,268,30,3,11,4,3,,599
20-Mar,31,300,367,56,12,14,8,5,2,795
21-Mar,16,248,306,47,12,10,8,1,,648
22-Mar,34,276,281,52,12,12,9,1,2,679
23-Mar,58,404,385,71,15,12,8,1,,954
24-Mar,43,315,381,67,17,14,7,3,,847
25-Mar,57,303,410,50,17,19,6,1,2,865
26-Mar,55,319,492,67,15,16,12,2,,978
27-Mar,62,361,638,72,35,19,10,1,3,1201
28-Mar,37,278,473,53,21,23,7,4,2,898
29-Mar,50,305,453,55,17,14,3,3,2,902
30-Mar,55,418,639,83,17,38,8,2,,1260
31-Mar,53,445,530,67,33,27,4,5,2,1166
1-Apr,80,440,583,76,37,28,5,1,,1250
2-Apr,55,412,574,68,27,24,8,,2,1170
3-Apr,60,415,625,69,29,32,8,1,3,1242
4-Apr,44,307,583,65,24,27,10,4,3,1067
5-Apr,37,367,528,65,22,33,1,2,,1055
6-Apr,62,354,678,94,36,43,7,2,2,1278
7-Apr,52,252,416,67,27,39,8,1,1,863
8-Apr,46,323,379,80,32,37,5,3,3,908
9-Apr,42,278,400,60,28,35,6,5,4,858
10-Apr,61,340,373,74,32,40,10,3,5,938
11-Apr,42,188,210,60,30,36,5,,9,580
12-Apr,33,187,291,45,26,46,5,1,3,637
13-Apr,56,231,409,47,31,29,11,,3,817
14-Apr,34,198,236,43,22,35,12,,6,586
15-Apr,28,318,425,67,24,48,9,,25,944
16-Apr,37,189,327,56,19,39,14,,3,684
17-Apr,29,188,338,50,24,30,9,,9,677
18-Apr,14,83,136,19,14,31,2,1,6,306
19-Apr,19,126,237,32,8,22,,,7,451
20-Apr,45,118,220,16,30,33,,,7,469
Grand Total,1642,11003,15237,2142,806,998,262,65,122,32277
